id;cname;cpath;clogourl;title;path;tags;city;detailtags;imgurl;img;logo;ctype;cindustry;csize;jexperience;jtype;jsubtype;jlocation;jcontract;jremote;jsalary
178;ComExplorer;/company/comexplorer-2034;https://api.azertyjobs.com/companies/2034/logo.png?4mvYJ;Assistant(e) Responsable Marketing [STAGE];/job/charge-inbound-marketing-stage-comexplorer-stage-paris;"[""STAGE"", ""Marketing / Communication""]"; Paris ;"[""Boulevard de Magenta 75010 Paris"", ""10 employÃ©s"", ""29 ans""]";;;;;;;;;;;;;
129;OuiFlash;/company/ouiflash-466;https://api.azertyjobs.com/companies/466/logo.png;DÃ©veloppeur PHP [CDI];/job/developpeur-php-ouiflash-cdi-paris;"[""CDI"", ""IT & Dev""]"; Paris ;"[""17 Rue de Turbigo 75002 Paris""]";;;;;;;;;;;;;
177;WITY;/company/wity-3270;https://api.azertyjobs.com/companies/3270/logo_86096ea0a186f4e3ab1371ce970b5d2e.png;Business Developer [CDI];/job/business-developer-wity-cdi-neuilly-sur-seine;"[""CDI"", ""Business Development / Sales""]"; Neuilly Sur Seine ;"[""20-26 boulevard du parc 92200 Neuilly Sur Seine""]";;;;;;;;;;;;;
180;AskHub.io;/company/askhubio-3252;https://api.azertyjobs.com/companies/3252/logo.png?LwOmH;Lead Developer [CDI];/job/lead-developer-askhubio-cdi-paris;"[""CDI"", ""IT & Dev""]"; Paris ;"[""9 rue Dareau 75014 Paris""]";;;;;;;;;;;;;
124;WayzUp;/company/wayzup-2256;https://api.azertyjobs.com/companies/2256/logo.png?rdbjw;Product Manager [CDI] (H/F) ;/job/product-manager-hf-wayzup-cdi-paris;"[""CDI"", ""Design & UX-UI""]"; Paris ;"[""130 rue de Lourmel 75015 Paris"", ""12 employÃ©s""]";;;;;;;;;;;;;
125;WayzUp;/company/wayzup-2256;https://api.azertyjobs.com/companies/2256/logo.png?rdbjw;Bras droit Marketing & StratÃ©gie [STAGE];/job/bras-droit-marketing-strategie-wayzup-stage-paris;"[""STAGE"", ""Marketing / Communication""]"; Paris ;"[""130 rue de Lourmel 75015 Paris"", ""12 employÃ©s""]";;;;;;;;;;;;;
126;Agricool;/company/agricool-784;https://api.azertyjobs.com/companies/784/logo.jpg?1y6SS;Community Builder [STAGE];/job/community-builder-agricool-stage-la-courneuve;"[""STAGE"", ""Marketing / Communication""]"; La Courneuve ;"[""139 rue rateau 93120 La Courneuve""]";;;;;;;;;;;;;
127;Younited Credit;/company/younited-credit-1161;https://api.azertyjobs.com/companies/1161/logo.png;Analyste CrÃ©dit (H/F) [CDI];/job/analyste-credit-hf-cdi-younited-credit-cdi-paris;"[""CDI"", ""Autre""]"; Paris ;"[""Rue Drouot 75009 Paris""]";;;;;;;;;;;;;
181;CozyCloud;/company/cozycloud-304;https://api.azertyjobs.com/companies/304/logo.png;Front Developers Positions [CDI];/job/front-developers-positions-cozycloud-cdi-paris;"[""CDI"", ""IT & Dev""]"; Paris ;"[""27 Rue de Mogador 75009 Paris"", ""30 employÃ©s"", ""5 M dÃ_Ã_Â»Ã_Â‰Ã¥ levÃ©s""]";;;;;;;;;;;;;
139;WHOOMIES;/company/whoomies-3292;https://api.azertyjobs.com/companies/3292/logo.png?1WUmd;Communication & Growth Hacking [STAGE];/job/communication-growth-hacking-whoomies-stage-paris;"[""STAGE"", ""Marketing / Communication""]"; Paris ;"[""Dauphine, Place du MarÃ©chal de Lattre de Tassigny 75016 Paris"", ""5 employÃ©s"", ""25 ans"", ""1 M dÃ_Ã_Â»Ã_Â‰Ã¥ levÃ©s"", ""30% d'hommes"", ""70% de femmes""]";;;;;;;;;;;;;
131;Destygo;/company/destygo-44;https://api.azertyjobs.com/companies/44/logo.png;UX Designer [STAGE];/job/ux-designer-destygo-stage-paris;"[""STAGE"", ""Design & UX-UI""]"; Paris ;"[""Rue de Bercy 75012 Paris""]";;;;;;;;;;;;;
133;Culinaries Media;/company/culinaries-media-3294;https://api.azertyjobs.com/companies/3294/logo.png?ummd9;Community Manager & Content [STAGE];/job/community-manager-content-stage-de-6-mois-culinaries-media-stage-paris;"[""STAGE"", ""Marketing / Communication""]"; Paris ;"[""29 rue des 3 bornes 75011 Paris""]";;;;;;;;;;;;;
144;LoisirsEnchÃ_Ã‚res;/company/loisirsencheres-2171;https://api.azertyjobs.com/companies/2171/logo.png?ozW4Y;Lead dÃ©veloppeur Ionic (iOS & Android) [CDI];/job/lead-developpeur-ionic-ios-android-loisirsencheres-cdi-bordeaux;"[""CDI"", ""IT & Dev""]"; Bordeaux ;"[""9 rue andrÃ© Darbon 33300 Bordeaux"", ""25 employÃ©s""]";;;;;;;;;;;;;
134;OuiFlash;/company/ouiflash-466;https://api.azertyjobs.com/companies/466/logo.png;Business Developer cycle court [CDD-CDI] H/F;/job/cdd-cdi-business-developer-cycle-court-hf-ouiflash-cdi-paris;"[""CDI"", ""Business Development / Sales""]"; Paris ;"[""17 Rue de Turbigo 75002 Paris""]";;;;;;;;;;;;;
135;WayzUp;/company/wayzup-2256;https://api.azertyjobs.com/companies/2256/logo.png?rdbjw;Responsable Customer Happiness [CDI];/job/responsable-customer-happiness-wayzup-cdi-paris;"[""CDI"", ""Support""]"; Paris ;"[""130 rue de Lourmel 75015 Paris"", ""12 employÃ©s""]";;;;;;;;;;;;;
136;WayzUp;/company/wayzup-2256;https://api.azertyjobs.com/companies/2256/logo.png?rdbjw;Bras Droit Marketing & StratÃ©gie [CDI];/job/bras-droit-marketing-strategie-wayzup-cdi-paris;"[""CDI"", ""Marketing / Communication""]"; Paris ;"[""130 rue de Lourmel 75015 Paris"", ""12 employÃ©s""]";;;;;;;;;;;;;
137;WayzUp;/company/wayzup-2256;https://api.azertyjobs.com/companies/2256/logo.png?rdbjw;Business Developer grands comptes [CDI];/job/business-developer-grands-comptes-wayzup-cdi-paris-1;"[""CDI"", ""Business Development / Sales""]"; Paris ;"[""130 rue de Lourmel 75015 Paris"", ""12 employÃ©s""]";;;;;;;;;;;;;
138;DAD;/company/dad-171;https://api.azertyjobs.com/companies/171/logo.png;Chef de Projet [STAGE];/job/stage-chef-de-projet-dad-stage-paris;"[""STAGE"", ""Marketing / Communication""]"; Paris ;"[""80 rue des Tournelles 75003 Paris"", ""6 employÃ©s"", ""25 ans"", ""70% d'hommes"", ""30% de femmes""]";;;;;;;;;;;;;
140;Mon Voisin Le Brasseur;/company/mon-voisin-le-brasseur-3291;https://api.azertyjobs.com/companies/3291/logo.png?QEvlc;Chief Operations Officer [ASSOCIE];/job/associe-chief-operations-officer-mon-voisin-le-brasseur-cdi-mumbai;"[""ASSOCIE"", ""Business Development / Sales""]"; Paris ;"[""Place de l'hotel de Ville 75001 Paris""]";;;;;;;;;;;;;
141;INSIDR;/company/insidr-1293;https://api.azertyjobs.com/companies/1293/logo.png;Manager des OpÃ©rations [STAGE];/job/manager-des-operations-insidr-stage-paris-2;"[""STAGE"", ""Support""]"; Paris ;"[""Rue des Lombards 75004 Paris"", ""8 employÃ©s"", ""27 ans""]";;;;;;;;;;;;;
